ScientificName,VernacularName
Platycnemis pennipes,Blue Featherleg
Asplenium ruta-muraria,Wall rue
Calopteryx virgo,Beautiful Demoiselle
Cygnus olor,Mute Swan
Mikiola fagi,Mikiola+fagi
Corvus cornix,Hooded Crow
Columba livia forma domestica,Columba+livia+forma+domestica
Alces alces,Elk
Leptinotarsa decemlineata,Colorado Beetle
Betula spec.,Betula+spec.
Geotrupini indet.,Geotrupini+indet.
Chrysochraon dispar,Large Golden Grasshopper
Calidris alba,Sanderling
Helophilus pendulus,Helophilus+pendulus
Mercurialis perennis,Dog's Mercury
Tanacetum vulgare,Tansy
Aglais urticae,Small Tortoiseshell
Impatiens parviflora,Small Balsam
Stercorarius parasiticus,Parasitic Jaeger
Epiblema foenella,Epiblema+foenella
Ardea cinerea cinerea,Grey Heron ssp cinerea
Falco peregrinus,Peregrine Falcon
Erebia aethiops,Scotch Argus
Polistes dominula,European Paper Wasp
Acrocephalus schoenobaenus,Sedge Warbler
Apis mellifera,Honey bee
Emberiza citrinella,Yellowhammer
Lanius collurio,Red-backed Shrike
Omocestus viridulus,Common Green Grasshopper
Rutpela maculata,Rutpela+maculata
Dorcus parallelipipedus,Lesser Stag Beetle
Arctia caja,Garden Tiger
Polyommatus icarus,Common Blue
Issoria lathonia,Queen of Spain Fritillary
Nucifraga caryocatactes,Spotted Nutcracker
Geotrupes stercorosus,Geotrupes+stercorosus
Sphinx pinastri,Pine Hawk-moth
Oedipoda caerulescens,Blue-winged Grasshopper
Lycaena phlaeas,Small Copper
Aglais io,Peacock
Aphantopus hyperantus,Ringlet
Sympetrum spec.,Sympetrum+spec.
Gymnadenia conopsea,Chalk Fragrant-orchid
Hydroprogne caspia,Caspian Tern
Helophilus trivittatus,Trivittate Marsh Fly
Melitaea diamina,False Heath Fritillary
Ciconia nigra,Black Stork
Asarum europaeum,Asarabacca
Araschnia levana,Map Butterfly
Pica pica,Eurasian Magpie
Lycaena virgaureae,Scarce Copper
Cetonia aurata,Rose Chafer
Motacilla flava,Western Yellow Wagtail
Luscinia svecica,Bluethroat
Heptagenia flava,Heptagenia+flava
Volucella zonaria,Volucella+zonaria
Emberiza schoeniclus,Common Reed Bunting
Vespa crabro,Hornet
Eristalis tenax,Drone Fly
Chorthippus albomarginatus,Lesser Marsh Grasshopper
Harmonia axyridis f. spectabilis,Harmonia+axyridis+f.+spectabilis
Haliaeetus albicilla,White-tailed Eagle
Circus aeruginosus,Western Marsh Harrier
Nymphalis antiopa,Camberwell Beauty
Stachys palustris,Marsh Woundwort
Dendrocopos leucotos,White-backed Woodpecker
Vanessa atalanta,Red Admiral
Acrocephalus paludicola,Aquatic Warbler
Dendrocoptes medius,Middle Spotted Woodpecker
Chelidonium majus,Greater Celandine
Tringa glareola,Wood Sandpiper
Oxythyrea funesta,White Spotted Rose Chafer beetle
Cardamine bulbifera,Coralroot
Melampyrum pratense,Common Cow-wheat
Mimas tiliae,Lime Hawk-moth
Calopteryx splendens,Banded Demoiselle
Thyatira batis,Peach Blossom
Chorthippus brunneus,Field Grasshopper
Papilio machaon,Swallowtail
Phegopteris connectilis,Beech Fern
Epipactis atrorubens,Dark red Helleborine
Coccinella septempunctata,Seven-spot Ladybird
Chroicocephalus ridibundus,Black-headed Gull
Stenurella melanura,Stenurella+melanura
Argynnis paphia,Silver-washed Fritillary
Grus grus,Common Crane
Paris quadrifolia,Herb Paris
Sambucus racemosa,Red berried Elder
Picus canus,Grey-headed Woodpecker
Tenebrio molitor,Mealworm beetle
Phylloscopus collybita,Common Chiffchaff
Galeopsis speciosa,Large flowered Hemp nettle
Upupa epops,Eurasian Hoopoe
Xestia c-nigrum,Setaceous Hebrew Character
Garrulus glandarius,Eurasian Jay
Digitalis spec.,Digitalis+spec.
Sphaerophoria spec.,Sphaerophoria+spec.
Trientalis europaea,Chickweed Wintergreen
Corvus frugilegus,Rook
